Common_Name,Family,Diameter_Breast_Height,Age_Description
Lemon Scented Gum,Myrtaceae,18,Semi-Mature
Freeman Maple,Sapindaceae,9,Juvenile
Knife-leaf Wattle,Fabaceae,,
European nettle tree,Cannabaceae,19,Semi-Mature
Variegated Elm,Ulmaceae,25,Semi-Mature
Red maple,Sapindaceae,,
River red gum,Myrtaceae,,
London Plane,Platanaceae,32,Semi-Mature
River red gum,Myrtaceae,,
Spotted Gum,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
Yellow Box,Myrtaceae,,
Black Wattle,Fabaceae,,
Red Oak,Fagaceae,15,Semi-Mature
Flat Topped Yate,Myrtaceae,,
Flame Tree,Malvaceae,6,New
Red Box,Myrtaceae,15,Semi-Mature
Wattle,Fabaceae,,
Drooping sheoak,Casuarinaceae,,
Australian Frangipani,Pittosporaceae,,
Purple-leafed Cherry Plum,Rosaceae,40,Mature
Monterey Cypress,Cupressaceae,,
Lemon Bottlebrush,Myrtaceae,,
Golden Wattle,Fabaceae,,
Brush Box,Myrtaceae,,
Freeman Maple,Sapindaceae,3,New
Rough-barked apple,Myrtaceae,,
Spotted Gum,Myrtaceae,,
English Elm,Ulmaceae,9,Juvenile
Japanese Zelkova,Ulmaceae,,
River red gum,Myrtaceae,,
Pin Oak,Fagaceae,,
Red maple,Sapindaceae,,
Spotted Gum,Myrtaceae,,
Spotted Gum,Myrtaceae,5,Juvenile
Brush Box,Myrtaceae,55,Mature
Elm,Ulmaceae,86,Mature
Lemon Scented Gum,Myrtaceae,2,New
Smooth-barked apple,Myrtaceae,,
Manna Gum,Myrtaceae,,
London Plane,Platanaceae,,
Peppercorn Tree,Anacardiaceae,59,Mature
Snow-in-Summer,Myrtaceae,29,Semi-Mature
Black Wattle,Fabaceae,,
Spotted Gum,Myrtaceae,,
Silver Wattle,Fabaceae,,
Chinese Flame Tree,Sapindaceae,,
Narrow-leaved Bottlebrush,Myrtaceae,,
Snow-in-Summer,Myrtaceae,60,Mature
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
Pin Oak,Fagaceae,15,Semi-Mature
River red gum,Myrtaceae,,
River red gum,Myrtaceae,5,New
Elm,Ulmaceae,68,Mature
Brush Box,Myrtaceae,19,Semi-Mature
English Elm,Ulmaceae,,
Eastern redbud,Leguminosae,,
Jacaranda,Bignoniaceae,18,Semi-Mature
Norfolk Island Pine,Araucariaceae,,
Yellow Box,Myrtaceae,,
Black Wattle,Fabaceae,,
Chinese Elm,Ulmaceae,22,Semi-Mature
Drooping sheoak,Casuarinaceae,,
River red gum,Myrtaceae,,
Prickly Paperbark,Myrtaceae,,
River red gum,Myrtaceae,,
Japanese Zelkova,Ulmaceae,15,Semi-Mature
English Elm,Ulmaceae,,
Red maple,Sapindaceae,,
Silver Banksia,Proteaceae,,
Lucombe Oak,Fagaceae,,
Bhutan Cypress,Cupressaceae,,
Brown mallet,Myrtaceae,,
Japanese Zelkova,Ulmaceae,13,Semi-Mature
Yellow Box,Myrtaceae,,
English Elm,Ulmaceae,47,Mature
Yellow Box,Myrtaceae,,
Yellow Box,Myrtaceae,,
UNKNOWN,UNKNOWN,,
Freeman Maple,Sapindaceae,12,Juvenile
Chinaberry Tree,Meliaceae,,
Spotted Gum,Myrtaceae,75,Mature
Queensland kauri pine,Araucariaceae,7,Juvenile
Tasmainian Blue Gum,Myrtaceae,74,Mature
Gum,Myrtaceae,,
London Plane,Platanaceae,43,Semi-Mature
Yellow Box,Myrtaceae,,
London Plane,Platanaceae,26,Semi-Mature
Coastal Banksia,Proteaceae,,
London Plane,Platanaceae,39,Semi-Mature
UNKNOWN,UNKNOWN,,
Canary Island Date Palm,Arecaceae,,
Silver Banksia,Proteaceae,,
Red Ironbark,Myrtaceae,,
Yellow Box,Myrtaceae,,
Lightwood Wattle,Fabaceae,,
River red gum,Myrtaceae,,
Algerian Oak,Fagaceae,,
Swamp Sheoak,Casuarinaceae,,
London Plane,Platanaceae,38,Semi-Mature
Smooth-barked apple,Myrtaceae,,
Golden Wattle,Fabaceae,,
Red Oak,Fagaceae,,
Willow Bottlebrush,Myrtaceae,,
Blueberry ash,Elaeocarpaceae,,
Varnish Wattle,Fabaceae,,
Canary Island Date Palm,Arecaceae,81,Mature
Argyle apple,Myrtaceae,,
Silky Oak,Proteaceae,,
Yellow Box,Myrtaceae,,
Grey Sheoak,Casuarinaceae,,
Ironbark,Myrtaceae,,
Lemon Scented Gum,Myrtaceae,3,New
Weeping Myrtle,Myrtaceae,,
Brush Box,Myrtaceae,59,Mature
River red gum,Myrtaceae,,
European Fan Palm,Arecaceae,,
Black Wattle,Fabaceae,,
Weeping Myrtle,Myrtaceae,34,Mature
Sweet Bursaria,Pittosporaceae,,
Flooded gum,Myrtaceae,,
Smooth-barked apple,Myrtaceae,,
Bhutan Cypress,Cupressaceae,,
Drooping sheoak,Casuarinaceae,,
London Plane,Platanaceae,28,Semi-Mature
Yellow Box,Myrtaceae,23,Semi-Mature
Jacaranda,Bignoniaceae,3,Juvenile
London Plane,Platanaceae,,
Black Wattle,Fabaceae,,
Brittle Gum,Myrtaceae,5,Juvenile
Lightwood Wattle,Fabaceae,,
Chinese Elm,Ulmaceae,,
Lightwood Wattle,Fabaceae,,
Lemon Bottlebrush,Myrtaceae,,
River Sheoak,Casuarinaceae,3,New
Weeping Myrtle,Myrtaceae,,
Queensland kauri pine,Araucariaceae,6,New
River red gum,Myrtaceae,,
Lightwood Wattle,Fabaceae,,
`Rosea¿ Red Ironbark,Myrtaceae,,
Varnish Wattle,Fabaceae,,
Yellow Gum,Myrtaceae,,
Kanooka,Myrtaceae,14,Semi-Mature
Algerian Oak,Fagaceae,,
Chinese Tallow,Euphorbiaceae,,
Spotted Gum,Myrtaceae,14,Semi-Mature
English Elm,Ulmaceae,78,Mature
Deodar,Pinaceae,54,Mature
River Sheoak,Casuarinaceae,,
Coastal Banksia,Proteaceae,,
Black Wattle,Fabaceae,,
Spotted Gum,Myrtaceae,29,Semi-Mature
Drooping sheoak,Casuarinaceae,,
Hoop Pine,Araucariaceae,,
Spotted Gum,Myrtaceae,25,Semi-Mature
Lemon Scented Gum,Myrtaceae,36,Semi-Mature
Mexican or Washington Palm,Arecaceae,,
Pin Oak,Fagaceae,35,Semi-Mature
Black Wattle,Fabaceae,,
Golden Honeylocust,Fabaceae,17,Semi-Mature
Smooth-barked apple,Myrtaceae,11,Juvenile
Spotted Gum,Myrtaceae,12,Juvenile
Spotted Gum,Myrtaceae,39,Semi-Mature
London Plane,Platanaceae,14,Semi-Mature
Yellow Gum,Myrtaceae,111,Mature
River red gum,Myrtaceae,,
Liquidamber or Sweet Gum,Altingiaceae,,
Yellow Gum,Myrtaceae,12,Juvenile
Freeman Maple,Sapindaceae,6,Juvenile
Willow myrtle,Myrtaceae,,
Lemon Bottlebrush,Myrtaceae,,
Sweet Bursaria,Pittosporaceae,,
Brush Box,Myrtaceae,27,Semi-Mature
Golden Wattle,Fabaceae,,
Kanooka,Myrtaceae,,
Yellow Box,Myrtaceae,,
Pin Oak,Fagaceae,4,New
Lemon Scented Gum,Myrtaceae,8,Juvenile
English Elm,Ulmaceae,30,Semi-Mature
River red gum,Myrtaceae,,
Lemon Bottlebrush,Myrtaceae,,
Lemon Bottlebrush,Myrtaceae,,
Deodar,Pinaceae,7,Juvenile
Lightwood Wattle,Fabaceae,,
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
Flame Tree,Malvaceae,,
London Plane,Platanaceae,12,Semi-Mature
Black Wattle,Fabaceae,,
Brittle Gum,Myrtaceae,65,Mature
Large-fruited Yellow or Blue Gum,Myrtaceae,16,Semi-Mature
Maidenhair Tree,Ginkgoaceae,3,Juvenile
Red Flowering Yellow Gum,Myrtaceae,39,Mature
Lemon Scented Gum,Myrtaceae,,
Ironbark,Myrtaceae,,
Huntingdon Elm,Ulmaceae,63,Mature
Ironbark,Myrtaceae,,
European nettle tree,Cannabaceae,4,Juvenile
Unknown,Myrtaceae,,
Olive,Oleaceae,58,Mature
English Elm,Ulmaceae,16,Semi-Mature
London Plane,Platanaceae,30,Semi-Mature
European nettle tree,Cannabaceae,10,Semi-Mature
Chinese Elm,Ulmaceae,29,Semi-Mature
London Plane,Platanaceae,65,Mature
Gum,Myrtaceae,16,Semi-Mature
Black Wattle,Fabaceae,,
Spotted Gum,Myrtaceae,53,Mature
Norfolk Island Pine,Araucariaceae,,
Chinese Pistachio,Anacardiaceae,,
Flame Tree,Malvaceae,,
London Plane,Platanaceae,13,Semi-Mature
Black Wattle,Fabaceae,,
London Plane,Platanaceae,30,Semi-Mature
Drooping sheoak,Casuarinaceae,,
Swamp Paperbark,Myrtaceae,,
Silver Wattle,Fabaceae,,
Swamp Sheoak,Casuarinaceae,,
London Plane,Platanaceae,,
Black Wattle,Fabaceae,,
Norfolk Island Pine,Araucariaceae,,
Norfolk Island Pine,Araucariaceae,,
Queensland kauri pine,Araucariaceae,,
Drooping sheoak,Casuarinaceae,,
Swamp Gum,Myrtaceae,,
Chinaberry Tree,Meliaceae,4,New
Sweet Bursaria,Pittosporaceae,,
Manna Gum,Myrtaceae,,
Sweet Bursaria,Pittosporaceae,,
Norwegian Sunset Maple,Sapindaceae,3,New
River red gum,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
Yellow Box,Myrtaceae,,
Swamp Paperbark,Myrtaceae,,
Peppercorn Tree,Anacardiaceae,37,Semi-Mature
Peppercorn Tree,Anacardiaceae,23,Semi-Mature
Ironbark,Myrtaceae,7,New
Small-leaved Linden,Malvaceae,76,Mature
London Plane,Platanaceae,8,Juvenile
Drooping sheoak,Casuarinaceae,,
Swamp Sheoak,Casuarinaceae,,
Ironbark,Myrtaceae,,
Yellow Box,Myrtaceae,,
Pohutukawa,Myrtaceae,10,Semi-Mature
Wirilda,Fabaceae,,
River Sheoak,Casuarinaceae,,
London Plane,Platanaceae,,
Spotted Gum,Myrtaceae,,
Black Wattle,Fabaceae,,
Lemon Scented Gum,Myrtaceae,,
River red gum,Myrtaceae,,
Kurrajong,Malvaceae,,
Silver Banksia,Proteaceae,,
Spotted Gum,Myrtaceae,41,Semi-Mature
Black Wattle,Fabaceae,,
River red gum,Myrtaceae,,
Ovens Wattle,Fabaceae,,
Pin Oak,Fagaceae,5,Juvenile
River red gum,Myrtaceae,,
Jelly Palm,Arecaceae,0,Juvenile
Japanese Chestnut Oak,Fagaceae,,
Black Wattle,Fabaceae,,
Dutch Elm,Ulmaceae,67,Mature
Golden Honeylocust,Fabaceae,30,Semi-Mature
River red gum,Myrtaceae,,
Weeping Bottlebrush,Myrtaceae,,
tba,Moraceae,,
Freeman Maple,Sapindaceae,,
Drooping sheoak,Casuarinaceae,,
London Plane,Platanaceae,26,Semi-Mature
River red gum,Myrtaceae,65,Mature
Kanooka,Myrtaceae,7,Juvenile
Smooth-barked apple,Myrtaceae,,
Cyprus Plane,Platanaceae,32,Semi-Mature
Sweet Bursaria,Pittosporaceae,,
Smooth-barked apple,Myrtaceae,5,Juvenile
Sweet Bursaria,Pittosporaceae,,
Chinaberry Tree,Meliaceae,9,Juvenile
River red gum,Myrtaceae,,
Black Wattle,Fabaceae,,
Elm,Ulmaceae,49,Mature
London Plane,Platanaceae,41,Mature
Boobialla,Scrophulariaceae,,
Black Wattle,Fabaceae,,
River red gum,Myrtaceae,,
Smooth-barked apple,Myrtaceae,14,Semi-Mature
Black Wattle,Fabaceae,,
Jacaranda,Bignoniaceae,,
Petticoat or Desert Fan Palm,Arecaceae,,
Yellow Box,Myrtaceae,,
London Plane,Platanaceae,,
Lightwood Wattle,Fabaceae,,
London Plane,Platanaceae,20,Semi-Mature
Jacaranda,Bignoniaceae,16,Semi-Mature
River red gum,Myrtaceae,,
Scarlet Oak,Fagaceae,,
London Plane,Platanaceae,77,Mature
Pin Oak,Fagaceae,,
Maidenhair Tree,Ginkgoaceae,11,Semi-Mature
River red gum,Myrtaceae,14,Semi-Mature
Yellow Box,Myrtaceae,,
Sapporo Autumn Gold Elm,Ulmaceae,,
Spotted Gum,Myrtaceae,,
London Plane,Platanaceae,19,Semi-Mature
Drooping sheoak,Casuarinaceae,,
UNKNOWN,UNKNOWN,,
River red gum,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
Grey Sheoak,Casuarinaceae,,
Yellow Gum,Myrtaceae,,
River red gum,Myrtaceae,,
Sweet Bursaria,Pittosporaceae,,
River red gum,Myrtaceae,,
Brush Box,Myrtaceae,16,Semi-Mature
River red gum,Myrtaceae,,
Norway maple,Sapindaceae,3,Juvenile
Drooping sheoak,Casuarinaceae,,
Boobialla,Scrophulariaceae,,
Spotted Gum,Myrtaceae,58,Mature
Prickly Paperbark,Myrtaceae,93,Mature
Sweet Bursaria,Pittosporaceae,,
Monterey Pine,Pinaceae,87,Mature
Red Flowering Yellow Gum,Myrtaceae,29,Semi-Mature
Manchurian Pear,Rosaceae,4,Juvenile
Drooping sheoak,Casuarinaceae,,
Prickly Paperbark,Myrtaceae,60,Mature
Chinaberry Tree,Meliaceae,24,Semi-Mature
Willow Gum,Myrtaceae,36,Mature
Drooping sheoak,Casuarinaceae,,
Spotted Gum,Myrtaceae,,
Sweet Hakea,Proteaceae,,
Pin Oak,Fagaceae,,
English Elm,Ulmaceae,,
Moreton Bay Fig,Moraceae,90,Mature
Smooth-barked apple,Myrtaceae,,
Black Wattle,Fabaceae,,
Chinese Elm,Ulmaceae,24,Semi-Mature
Sweet Bursaria,Pittosporaceae,,
English Elm,Ulmaceae,20,Semi-Mature
English Elm,Ulmaceae,90,Over-mature
English Elm,Ulmaceae,114,Over-mature
Ironbark,Myrtaceae,15,Semi-Mature
Black Wattle,Fabaceae,,
Yellow Gum,Myrtaceae,,
English Elm,Ulmaceae,67,Mature
River red gum,Myrtaceae,,
Boobialla,Scrophulariaceae,,
Smooth-barked apple,Myrtaceae,54,Mature
River red gum,Myrtaceae,,
Yellow Box,Myrtaceae,,
Chinaberry Tree,Meliaceae,,
Sweet Bursaria,Pittosporaceae,,
English Elm,Ulmaceae,,
Spotted Gum,Myrtaceae,41,Semi-Mature
Ironbark,Myrtaceae,,
Broad-leaf Tea-tree,Myrtaceae,,
English Elm,Ulmaceae,78,Mature
Melbourne Yellow-Gum,Myrtaceae,,
English Elm,Ulmaceae,106,Mature
Chinese Elm,Ulmaceae,25,Semi-Mature
Elm,Ulmaceae,126,Mature
River red gum,Myrtaceae,,
Unknown,Myrtaceae,,
Broad-leaf Tea-tree,Myrtaceae,,
Black Wattle,Fabaceae,,
London Plane,Platanaceae,,
Drooping sheoak,Casuarinaceae,,
Canary Island Date Palm,Arecaceae,73,Mature
Drooping sheoak,Casuarinaceae,,
Spotted Gum,Myrtaceae,,
Elm,Ulmaceae,,
River red gum,Myrtaceae,,
London Plane,Platanaceae,26,Semi-Mature
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
Black Wattle,Fabaceae,,
Kanooka,Myrtaceae,,
River red gum,Myrtaceae,,
River red gum,Myrtaceae,10,Juvenile
Manchurian Pear,Rosaceae,9,Semi-Mature
Lemon Scented Gum,Myrtaceae,,
English Oak,Fagaceae,88,Mature
Manchurian Pear,Rosaceae,19,Semi-Mature
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
Hedge Wattle,Fabaceae,,
Yellow Box,Myrtaceae,,
Smooth-barked apple,Myrtaceae,,
Kanooka,Myrtaceae,15,Semi-Mature
Rough-barked apple,Myrtaceae,,
London Plane,Platanaceae,,
River red gum,Myrtaceae,,
London Plane,Platanaceae,,
Black Wattle,Fabaceae,,
Yellow Box,Myrtaceae,,
River Sheoak,Casuarinaceae,,
Yellow Gum,Myrtaceae,,
Sweet Bursaria,Pittosporaceae,,
Yellow Box,Myrtaceae,,
Red Box,Myrtaceae,,
Yellow Box,Myrtaceae,,
Yellow Box,Myrtaceae,,
Manchurian Pear,Rosaceae,,
River Birch,Betulaceae,,
Lilly Pilly,Myrtaceae,41,Mature
English Elm,Ulmaceae,,
Canary Island Date Palm,Arecaceae,64,Mature
Black Wattle,Fabaceae,,
Flooded gum,Myrtaceae,,
River red gum,Myrtaceae,,
Pin Oak,Fagaceae,10,Juvenile
Black She Oak,Casuarinaceae,,
River red gum,Myrtaceae,,
Varnish Wattle,Fabaceae,,
White Silky Oak,Proteaceae,,
Swamp Paperbark,Myrtaceae,,
Chinaberry Tree,Meliaceae,,
Cyprus Plane,Platanaceae,26,Semi-Mature
Hill¿s Weeping Fig,Moraceae,23,Semi-Mature
Swamp Sheoak,Casuarinaceae,,
Rose sheoak,Casuarinaceae,34,Semi-Mature
River Sheoak,Casuarinaceae,,
River red gum,Myrtaceae,,
English Elm,Ulmaceae,92,Mature
River red gum,Myrtaceae,,
Spotted Gum,Myrtaceae,,
Cherry Plum,Rosaceae,,
Alexander palm,Arecaceae,,
River red gum,Myrtaceae,12,Semi-Mature
Yellow Box,Myrtaceae,,
Lightwood Wattle,Fabaceae,,
Lemon Scented Gum,Myrtaceae,,
River Sheoak,Casuarinaceae,,
Japanese Zelkova,Ulmaceae,36,Semi-Mature
London Plane,Platanaceae,47,Mature
Yellow Box,Myrtaceae,,
Queensland kauri pine,Araucariaceae,,
Chinaberry Tree,Meliaceae,17,Semi-Mature
Red Oak,Fagaceae,,
Spotted Gum,Myrtaceae,46,Mature
Smooth-barked apple,Myrtaceae,10,New
Algerian Oak,Fagaceae,15,Juvenile
River red gum,Myrtaceae,,
Gossamer Wattle,Fabaceae,29,Semi-Mature
Black Wattle,Fabaceae,,
Kanooka,Myrtaceae,14,Semi-Mature
Small Leafed Linden,Malvaceae,,
English Oak,Fagaceae,51,Semi-Mature
Sweet Bursaria,Pittosporaceae,,
Sweet Bursaria,Pittosporaceae,,
Black Wattle,Fabaceae,,
Japanese maple,Sapindaceae,4,Juvenile
Holm Oak,Fagaceae,73,Mature
Black Wattle,Fabaceae,0,New
Brush Box,Myrtaceae,28,Semi-Mature
Spotted Gum,Myrtaceae,9,Juvenile
Flooded gum,Myrtaceae,,
English Elm,Ulmaceae,67,Mature
Spotted Gum,Myrtaceae,,
Scarlet Oak,Fagaceae,,
Chinaberry Tree,Meliaceae,17,Semi-Mature
Pine,Pinaceae,,
Firewheel Tree,Proteaceae,,
Manna Gum,Myrtaceae,,
Lightwood Wattle,Fabaceae,,
Chinese Elm,Ulmaceae,25,Semi-Mature
Yellow Box,Myrtaceae,,
London Plane,Platanaceae,41,Semi-Mature
Elm,Ulmaceae,17,Semi-Mature
Chinaberry Tree,Meliaceae,,
Large-fruited Yellow or Blue Gum,Myrtaceae,,
London Plane,Platanaceae,71,Mature
Black Wattle,Fabaceae,,
Yellow Box,Myrtaceae,26,Semi-Mature
Sweet Pittosporum,Pittosporaceae,42,Mature
River red gum,Myrtaceae,,
Ironbark,Myrtaceae,,
English Oak,Fagaceae,4,Juvenile
Lightwood Wattle,Fabaceae,,
Variegated Elm,Ulmaceae,,
River red gum,Myrtaceae,17,Juvenile
Pyramid Tree,Malvaceae,38,Mature
Boobialla,Scrophulariaceae,,
Ironbark,Myrtaceae,,
Lightwood Wattle,Fabaceae,,
Crepe Myrtle,Lythraceae,3,New
Hill¿s Weeping Fig,Moraceae,21,Semi-Mature
Moreton Bay Fig,Moraceae,63,Semi-Mature
Swamp Sheoak,Casuarinaceae,,
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
Yellow Box,Myrtaceae,,
Black Wattle,Fabaceae,,
Flame Tree,Malvaceae,,
Smooth-barked apple,Myrtaceae,15,Semi-Mature
Yellow Gum,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
River red gum,Myrtaceae,,
European Fan Palm,Arecaceae,0,Mature
Japanese Zelkova,Ulmaceae,,
Yellow Gum,Myrtaceae,,
Swamp Paperbark,Myrtaceae,,
River red gum,Myrtaceae,,
Peppercorn Tree,Anacardiaceae,173,Mature
Weeping Bottlebrush,Myrtaceae,,
River red gum,Myrtaceae,,
London Plane,Platanaceae,19,Semi-Mature
Moreton Bay Fig,Moraceae,,
Wilga,Rutaceae,,
London Plane,Platanaceae,11,Semi-Mature
European nettle tree,Cannabaceae,22,Semi-Mature
Yellow Gum,Myrtaceae,,
Lightwood Wattle,Fabaceae,,
Lightwood Wattle,Fabaceae,,
English Elm,Ulmaceae,32,Semi-Mature
Drooping sheoak,Casuarinaceae,,
Brittle Gum,Myrtaceae,,
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
Tipa,Leguminosae,,
Spotted Gum,Myrtaceae,28,Semi-Mature
Coastal Tea Tree,Myrtaceae,,
London Plane,Platanaceae,36,Semi-Mature
River red gum,Myrtaceae,,
Ironbark,Myrtaceae,35,Semi-Mature
Port Jackson or Rusty Fig,Moraceae,11,Juvenile
Yellow Box,Myrtaceae,,
River red gum,Myrtaceae,,
Yellow Box,Myrtaceae,,
Lightwood Wattle,Fabaceae,,
Tuart Tree,Myrtaceae,,
Spotted Gum,Myrtaceae,8,New
Gum,Myrtaceae,,
Yellow Gum,Myrtaceae,,
Swamp Sheoak,Casuarinaceae,,
River red gum,Myrtaceae,,
Lemon Scented Gum,Myrtaceae,10,Juvenile
Yellow Box,Myrtaceae,,
Yellow Box,Myrtaceae,30,Semi-Mature
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
Velvet Ash,Oleaceae,,
Willow Gum,Myrtaceae,,
Smooth-barked apple,Myrtaceae,,
Yellow Gum,Myrtaceae,,
Yellow Chestnut Oak,Fagaceae,59,Mature
Manchurian Pear,Rosaceae,11,Semi-Mature
River Sheoak,Casuarinaceae,53,Mature
Norfolk Island Pine,Araucariaceae,,
Yellow Gum,Myrtaceae,7,Juvenile
London Plane,Platanaceae,60,Mature
English Elm,Ulmaceae,6,Juvenile
Dutch Elm,Ulmaceae,7,Juvenile
Grey Poplar,Salicaceae,74,Over-mature
European nettle tree,Cannabaceae,11,Juvenile
Lightwood Wattle,Fabaceae,,
River red gum,Myrtaceae,,
Chinaberry Tree,Meliaceae,7,Juvenile
Lightwood Wattle,Fabaceae,,
Spotted Gum,Myrtaceae,,
Kanooka,Myrtaceae,5,Juvenile
Spotted Gum,Myrtaceae,,
Lightwood Wattle,Fabaceae,,
Lemon Scented Gum,Myrtaceae,,
Yellow Box,Myrtaceae,18,Semi-Mature
Red Gum,Myrtaceae,,
Lemon Scented Gum,Myrtaceae,,
Brush Box,Myrtaceae,53,Mature
Yellow Box,Myrtaceae,,
Grey Sheoak,Casuarinaceae,,
Prickly Paperbark,Myrtaceae,81,Mature
Hill¿s Weeping Fig,Moraceae,7,Juvenile
Elm,Ulmaceae,80,Mature
Hill¿s Weeping Fig,Moraceae,34,Semi-Mature
London Plane,Platanaceae,,
London Plane,Platanaceae,34,Semi-Mature
European nettle tree,Cannabaceae,17,Semi-Mature
Canary Island Pine,Pinaceae,,
Spotted Gum,Myrtaceae,48,Mature
Japanese Zelkova,Ulmaceae,,
Chinese Pistachio,Anacardiaceae,,
River red gum,Myrtaceae,,
Weeping Myrtle,Myrtaceae,,
Silky Oak,Proteaceae,,
Elm,Ulmaceae,9,Juvenile
Weeping Myrtle,Myrtaceae,,
Sweet Pittosporum,Pittosporaceae,,
Yellow Gum,Myrtaceae,16,Semi-Mature
Swamp Paperbark,Myrtaceae,0,Juvenile
Drooping sheoak,Casuarinaceae,,
Hoop Pine,Araucariaceae,,
Elm,Ulmaceae,24,Semi-Mature
Flame Tree,Malvaceae,,
River red gum,Myrtaceae,8,Juvenile
Manna Gum,Myrtaceae,,
London Plane,Platanaceae,28,Semi-Mature
Lemon Scented Gum,Myrtaceae,23,Semi-Mature
Blueberry ash,Elaeocarpaceae,,
Algerian Oak,Fagaceae,,
Moreton Bay Fig,Moraceae,,
Golden Wattle,Fabaceae,,
Drooping sheoak,Casuarinaceae,,
Sweet Bursaria,Pittosporaceae,,
Chinaberry Tree,Meliaceae,3,Juvenile
Drooping sheoak,Casuarinaceae,,
Hill¿s Weeping Fig,Moraceae,31,Semi-Mature
Black She Oak,Casuarinaceae,,
River red gum,Myrtaceae,7,Juvenile
`Bloodgood¿ London Planetree,Platanaceae,,
Wilga,Rutaceae,,
American pepper,Anacardiaceae,,
Dwarf lemon scented gum,Myrtaceae,,
Pin Oak,Fagaceae,3,New
Tulip Tree,Magnoliaceae,6,Juvenile
London Plane,Platanaceae,11,Juvenile
Yellow Box,Myrtaceae,,
Golden Wattle,Fabaceae,,
Red Box,Myrtaceae,,
Black Wattle,Fabaceae,,
 Prickly-leaved paperbark,Myrtaceae,,
River red gum,Myrtaceae,,
Manchurian Pear,Rosaceae,,
Maidenhair Tree,Ginkgoaceae,,
Moonah,Myrtaceae,,
Black Wattle,Fabaceae,,
Elm,Ulmaceae,65,Mature
Drooping sheoak,Casuarinaceae,,
Brush Box,Myrtaceae,,
Lightwood Wattle,Fabaceae,,
Firewheel Tree,Proteaceae,,
Drooping sheoak,Casuarinaceae,,
Pin Cushion Hakea,Proteaceae,,
Boobialla,Scrophulariaceae,,
London Plane,Platanaceae,28,Semi-Mature
London Plane,Platanaceae,78,Mature
Golden Spray,Fabaceae,,
Flowering Gum,Myrtaceae,,
Black Wattle,Fabaceae,,
Ironbark,Myrtaceae,,
London Plane,Platanaceae,47,Mature
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
Golden Spray,Fabaceae,,
Pin Oak,Fagaceae,19,Semi-Mature
Yellow Gum,Myrtaceae,,
European nettle tree,Cannabaceae,,
Sugar gum,Myrtaceae,70,Mature
Mexican or Washington Palm,Arecaceae,50,Mature
Lightwood Wattle,Fabaceae,,
River red gum,Myrtaceae,,
Spotted Gum,Myrtaceae,19,Semi-Mature
River red gum,Myrtaceae,,
River red gum,Myrtaceae,43,Semi-Mature
Yellow Box,Myrtaceae,,
Huntingdon Elm,Ulmaceae,11,Juvenile
Weeping Fig,Moraceae,,
London Plane,Platanaceae,37,Semi-Mature
Ironbark,Myrtaceae,,
Chinese Pistachio,Anacardiaceae,,
Mexican or Washington Palm,Arecaceae,,
Yellow Box,Myrtaceae,,
Varnish Wattle,Fabaceae,,
Golden Wattle,Fabaceae,,
River red gum,Myrtaceae,,
Bhutan Cypress,Cupressaceae,,
Willow Leaf Peppermint,Myrtaceae,78,Mature
River red gum,Myrtaceae,,
Red Box,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
White Silky Oak,Proteaceae,,
Chinaberry Tree,Meliaceae,,
Lightwood Wattle,Fabaceae,,
River red gum,Myrtaceae,,
Tulip Tree,Magnoliaceae,9,Juvenile
Red Box,Myrtaceae,,
River red gum,Myrtaceae,,
Boobialla,Scrophulariaceae,,
Freeman Maple,Sapindaceae,,
Yellow Box,Myrtaceae,,
English Elm,Ulmaceae,,
Hill¿s Weeping Fig,Moraceae,30,Semi-Mature
Manna Gum,Myrtaceae,,
London Plane,Platanaceae,40,Semi-Mature
Spotted Gum,Myrtaceae,31,Semi-Mature
Black Wattle,Fabaceae,,
Wirilda,Fabaceae,,
Drooping sheoak,Casuarinaceae,,
Boobialla,Scrophulariaceae,,
Weeping Myrtle,Myrtaceae,13,Juvenile
River red gum,Myrtaceae,30,Semi-Mature
Brush Box,Myrtaceae,26,Semi-Mature
River red gum,Myrtaceae,,
Swamp Paperbark,Myrtaceae,,
Ironbark,Myrtaceae,56,Mature
Manuka,Myrtaceae,,
Spotted Gum,Myrtaceae,6,Juvenile
Sweet Pittosporum,Pittosporaceae,14,Semi-Mature
River red gum,Myrtaceae,,
Spotted Gum,Myrtaceae,14,Juvenile
Drooping sheoak,Casuarinaceae,,
Brush Box,Myrtaceae,,
River red gum,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
Flooded gum,Myrtaceae,15,Semi-Mature
English Oak,Fagaceae,,
Black Wattle,Fabaceae,,
